"week","n_events","treatment","spike2019","n_novisad","n_student_events","n_nonstudent_events"
2018-01-01,1,0,0,0,0,1
2018-01-15,1,0,0,0,0,1
2018-01-22,1,0,0,0,1,0
2018-01-29,4,0,0,0,0,4
2018-02-05,2,0,0,0,0,2
2018-02-12,2,0,0,0,0,2
2018-02-19,2,0,0,0,0,2
2018-02-26,1,0,0,0,0,1
2018-03-05,2,0,0,0,0,2
2018-03-12,3,0,0,0,0,3
2018-03-26,4,0,0,0,0,4
2018-04-02,2,0,0,0,0,2
2018-04-09,6,0,0,1,0,6
2018-04-16,4,0,0,0,1,3
2018-04-23,8,0,0,1,0,8
2018-04-30,4,0,0,0,0,4
2018-05-07,4,0,0,0,0,4
2018-05-14,5,0,0,0,0,5
2018-05-21,5,0,0,0,0,5
2018-05-28,4,0,0,0,1,3
2018-06-04,36,0,0,2,0,36
2018-06-11,17,0,0,2,0,17
2018-06-18,4,0,0,0,0,4
2018-06-25,3,0,0,0,0,3
2018-07-09,4,0,0,0,1,3
2018-07-16,2,0,0,0,0,2
2018-07-23,2,0,0,0,0,2
2018-07-30,2,0,0,0,0,2
2018-08-13,1,0,0,0,0,1
2018-08-27,3,0,0,0,0,3
2018-09-03,4,0,0,0,0,4
2018-09-10,4,0,0,0,0,4
2018-09-17,3,0,0,0,1,2
2018-09-24,2,0,0,0,0,2
2018-10-01,8,0,0,0,1,7
2018-10-08,2,0,0,0,0,2
2018-10-15,2,0,0,0,0,2
2018-10-22,4,0,0,0,0,4
2018-10-29,4,0,0,1,1,3
2018-11-05,1,0,0,0,0,1
2018-11-12,4,0,0,0,0,4
2018-11-26,4,0,0,0,0,4
2018-12-03,3,0,1,0,0,3
2018-12-10,4,0,1,0,0,4
2018-12-17,2,0,1,0,0,2
2018-12-24,7,0,1,0,1,6
2018-12-31,7,0,1,1,0,7
2019-01-07,9,0,1,1,0,9
2019-01-14,19,0,1,1,1,18
2019-01-21,29,0,1,1,1,28
2019-01-28,46,0,1,1,1,45
2019-02-04,52,0,1,1,0,52
2019-02-11,49,0,1,1,0,49
2019-02-18,59,0,1,1,1,58
2019-02-25,67,0,1,1,0,67
2019-03-04,64,0,1,1,0,64
2019-03-11,67,0,1,3,1,66
2019-03-18,63,0,1,1,5,58
2019-03-25,59,0,1,1,1,58
2019-04-01,49,0,1,1,0,49
2019-04-08,28,0,1,1,1,27
2019-04-15,27,0,1,1,1,26
2019-04-22,8,0,1,0,0,8
2019-04-29,14,0,1,1,0,14
2019-05-06,20,0,1,2,0,20
2019-05-13,11,0,1,1,1,10
2019-05-20,12,0,1,2,0,12
2019-05-27,10,0,1,0,1,9
2019-06-03,17,0,1,2,1,16
2019-06-10,8,0,1,1,1,7
2019-06-17,11,0,1,0,7,4
2019-06-24,8,0,1,1,0,8
2019-07-01,6,0,1,0,0,6
2019-07-08,6,0,1,0,1,5
2019-07-15,5,0,1,0,2,3
2019-07-22,7,0,1,0,0,7
2019-07-29,5,0,1,0,0,5
2019-08-05,2,0,1,0,0,2
2019-08-12,2,0,1,0,0,2
2019-08-19,4,0,1,0,0,4
2019-08-26,4,0,1,0,0,4
2019-09-02,9,0,1,0,1,8
2019-09-09,6,0,1,0,0,6
2019-09-16,8,0,1,1,1,7
2019-09-23,5,0,1,0,0,5
2019-09-30,16,0,1,2,1,15
2019-10-07,12,0,1,1,0,12
2019-10-14,12,0,1,1,0,12
2019-10-21,4,0,1,1,0,4
2019-10-28,6,0,1,1,0,6
2019-11-04,11,0,1,2,1,10
2019-11-11,6,0,1,2,0,6
2019-11-18,5,0,1,1,2,3
2019-11-25,16,0,1,0,3,13
2019-12-02,8,0,1,1,1,7
2019-12-09,7,0,1,2,0,7
2019-12-16,11,0,1,1,0,11
2019-12-23,7,0,1,1,1,6
2019-12-30,11,0,1,1,0,11
2020-01-06,8,0,0,1,0,8
2020-01-13,10,0,0,2,2,8
2020-01-20,9,0,0,1,1,8
2020-01-27,9,0,0,1,1,8
2020-02-03,33,0,0,2,2,31
2020-02-10,7,0,0,1,2,5
2020-02-17,10,0,0,1,0,10
2020-02-24,11,0,0,1,0,11
2020-03-02,6,0,0,1,0,6
2020-03-09,3,0,0,0,0,3
2020-03-23,1,0,0,0,0,1
2020-04-06,2,0,0,0,0,2
2020-04-20,5,0,0,1,0,5
2020-04-27,47,0,0,5,0,47
2020-05-04,29,0,0,5,0,29
2020-05-11,7,0,0,1,0,7
2020-05-18,6,0,0,1,0,6
2020-05-25,1,0,0,0,1,0
2020-06-01,1,0,0,0,0,1
2020-06-08,5,0,0,1,0,5
2020-06-15,6,0,0,0,0,6
2020-06-22,2,0,0,0,0,2
2020-06-29,12,0,0,1,3,9
2020-07-06,37,0,0,5,0,37
2020-07-13,16,0,0,1,0,16
2020-07-20,6,0,0,1,0,6
2020-07-27,6,0,0,0,0,6
2020-08-03,3,0,0,0,0,3
2020-08-10,4,0,0,1,1,3
2020-08-17,4,0,0,0,0,4
2020-08-24,8,0,0,2,0,8
2020-08-31,4,0,0,1,2,2
2020-09-07,6,0,0,0,0,6
2020-09-14,4,0,0,0,0,4
2020-09-21,3,0,0,0,1,2
2020-09-28,3,0,0,1,2,1
2020-10-05,5,0,0,0,2,3
2020-10-12,7,0,0,0,1,6
2020-10-19,6,0,0,0,1,5
2020-10-26,4,0,0,0,0,4
2020-11-02,4,0,0,0,0,4
2020-11-09,1,0,0,0,0,1
2020-11-16,5,0,0,0,0,5
2020-11-23,1,0,0,0,1,0
2020-11-30,1,0,0,0,0,1
2020-12-07,4,0,0,0,0,4
2020-12-14,2,0,0,0,0,2
2020-12-21,4,0,0,0,0,4
2020-12-28,3,0,0,0,0,3
2021-01-04,6,0,0,0,0,6
2021-01-11,3,0,0,0,0,3
2021-01-18,4,0,0,0,0,4
2021-01-25,2,0,0,0,0,2
2021-02-01,4,0,0,1,0,4
2021-02-08,5,0,0,0,0,5
2021-02-15,4,0,0,3,0,4
2021-02-22,11,0,0,0,2,9
2021-03-01,6,0,0,1,0,6
2021-03-08,8,0,0,0,0,8
2021-03-15,10,0,0,0,0,10
2021-03-22,2,0,0,0,0,2
2021-03-29,6,0,0,0,0,6
2021-04-05,6,0,0,0,0,6
2021-04-12,7,0,0,0,0,7
2021-04-19,5,0,0,1,0,5
2021-04-26,2,0,0,0,0,2
2021-05-03,2,0,0,0,0,2
2021-05-10,7,0,0,0,0,7
2021-05-17,6,0,0,1,1,5
2021-05-24,11,0,0,0,0,11
2021-05-31,4,0,0,0,0,4
2021-06-07,8,0,0,0,1,7
2021-06-14,9,0,0,2,1,8
2021-06-21,6,0,0,0,0,6
2021-06-28,4,0,0,0,0,4
2021-07-05,10,0,0,0,0,10
2021-07-12,7,0,0,0,0,7
2021-07-19,9,0,0,0,0,9
2021-07-26,9,0,0,1,0,9
2021-08-02,7,0,0,1,0,7
2021-08-09,5,0,0,2,0,5
2021-08-16,6,0,0,1,0,6
2021-08-23,5,0,0,1,0,5
2021-08-30,4,0,0,0,1,3
2021-09-06,3,0,0,0,0,3
2021-09-13,9,0,0,0,2,7
2021-09-20,9,0,0,1,0,9
2021-09-27,9,0,0,0,0,9
2021-10-04,6,0,0,0,0,6
2021-10-11,7,0,0,0,0,7
2021-10-18,10,0,0,0,0,10
2021-10-25,11,0,0,0,0,11
2021-11-01,11,0,0,1,1,10
2021-11-08,4,0,0,1,0,4
2021-11-15,6,0,0,0,0,6
2021-11-22,17,0,0,1,1,16
2021-11-29,25,0,0,0,0,25
2021-12-06,24,0,0,1,0,24
2021-12-13,9,0,0,0,1,8
2021-12-20,6,0,0,1,2,4
2021-12-27,3,0,0,0,1,2
2022-01-03,25,0,0,2,0,25
2022-01-10,11,0,0,0,0,11
2022-01-17,6,0,0,0,0,6
2022-01-24,9,0,0,0,0,9
2022-01-31,4,0,0,0,0,4
2022-02-07,14,0,0,0,0,14
2022-02-14,6,0,0,0,0,6
2022-02-21,15,0,0,2,1,14
2022-02-28,7,0,0,1,0,7
2022-03-07,7,0,0,2,0,7
2022-03-14,13,0,0,1,0,13
2022-03-21,5,0,0,0,1,4
2022-03-28,8,0,0,0,3,5
2022-04-04,2,0,0,1,1,1
2022-04-11,7,0,0,0,0,7
2022-04-18,1,0,0,0,0,1
2022-04-25,4,0,0,0,0,4
2022-05-02,2,0,0,0,0,2
2022-05-09,6,0,0,1,2,4
2022-05-16,3,0,0,0,0,3
2022-05-23,6,0,0,0,2,4
2022-05-30,2,0,0,0,1,1
2022-06-06,6,0,0,1,0,6
2022-06-13,2,0,0,0,0,2
2022-06-20,3,0,0,0,0,3
2022-06-27,1,0,0,0,0,1
2022-07-11,9,0,0,1,0,9
2022-07-18,14,0,0,1,0,14
2022-07-25,17,0,0,1,0,17
2022-08-01,12,0,0,0,0,12
2022-08-08,19,0,0,6,0,19
2022-08-15,7,0,0,2,0,7
2022-08-22,5,0,0,0,0,5
2022-08-29,4,0,0,1,1,3
2022-09-05,4,0,0,0,0,4
2022-09-12,13,0,0,0,1,12
2022-09-19,17,0,0,0,0,17
2022-09-26,15,0,0,1,0,15
2022-10-03,10,0,0,0,0,10
2022-10-10,7,0,0,0,0,7
2022-10-17,6,0,0,2,0,6
2022-10-24,2,0,0,0,0,2
2022-10-31,5,0,0,0,0,5
2022-11-07,2,0,0,0,0,2
2022-11-14,5,0,0,0,1,4
2022-11-21,1,0,0,0,0,1
2022-11-28,18,0,0,2,0,18
2022-12-05,5,0,0,0,0,5
2022-12-12,4,0,0,0,0,4
2022-12-19,3,0,0,0,1,2
2022-12-26,1,0,0,0,0,1
2023-01-02,1,0,0,0,0,1
2023-01-09,5,0,0,0,0,5
2023-01-16,7,0,0,1,0,7
2023-01-23,1,0,0,0,0,1
2023-01-30,2,0,0,0,0,2
2023-02-06,1,0,0,0,0,1
2023-02-13,2,0,0,0,0,2
2023-02-20,9,0,0,1,0,9
2023-02-27,7,0,0,0,0,7
2023-03-06,8,0,0,0,1,7
2023-03-13,13,0,0,2,2,11
2023-03-20,6,0,0,0,1,5
2023-03-27,5,0,0,0,1,4
2023-04-03,7,0,0,0,0,7
2023-04-10,4,0,0,0,0,4
2023-04-17,3,0,0,1,0,3
2023-04-24,8,0,0,1,0,8
2023-05-01,3,0,0,0,0,3
2023-05-08,10,0,0,2,0,10
2023-05-15,38,0,0,4,0,38
2023-05-22,8,0,0,0,0,8
2023-05-29,14,0,0,2,3,11
2023-06-05,11,0,0,0,2,9
2023-06-12,9,0,0,1,3,6
2023-06-19,18,0,0,1,4,14
2023-06-26,21,0,0,1,1,20
2023-07-03,16,0,0,1,0,16
2023-07-10,19,0,0,1,3,16
2023-07-17,16,0,0,1,5,11
2023-07-24,13,0,0,1,3,10
2023-07-31,9,0,0,1,1,8
2023-08-07,15,0,0,1,1,14
2023-08-14,8,0,0,0,1,7
2023-08-21,7,0,0,1,0,7
2023-08-28,10,0,0,1,1,9
2023-09-04,10,0,0,1,0,10
2023-09-11,11,0,0,1,1,10
2023-09-18,9,0,0,0,0,9
2023-09-25,10,0,0,0,1,9
2023-10-02,11,0,0,1,1,10
2023-10-09,10,0,0,1,1,9
2023-10-16,3,0,0,0,0,3
2023-10-23,6,0,0,0,1,5
2023-10-30,6,0,0,0,0,6
2023-11-06,3,0,0,0,0,3
2023-11-13,28,0,0,5,0,28
2023-11-20,12,0,0,1,1,11
2023-11-27,5,0,0,0,0,5
2023-12-04,5,0,0,1,0,5
2023-12-11,4,0,0,0,0,4
2023-12-18,10,0,0,0,8,2
2023-12-25,9,0,0,0,7,2
2024-01-15,4,0,0,0,1,3
2024-01-22,6,0,0,0,1,5
2024-01-29,1,0,0,0,0,1
2024-02-05,2,0,0,0,0,2
2024-02-12,7,0,0,0,0,7
2024-02-19,5,0,0,1,1,4
2024-02-26,5,0,0,1,1,4
2024-03-04,6,0,0,2,1,5
2024-03-11,5,0,0,2,1,4
2024-03-18,2,0,0,0,0,2
2024-03-25,3,0,0,1,0,3
2024-04-01,1,0,0,0,0,1
2024-04-08,3,0,0,0,0,3
2024-04-22,6,0,0,1,0,6
2024-04-29,5,0,0,0,0,5
2024-05-06,1,0,0,0,1,0
2024-05-13,6,0,0,0,2,4
2024-05-20,7,0,0,1,0,7
2024-05-27,5,0,0,1,0,5
2024-06-03,6,0,0,0,1,5
2024-06-10,2,0,0,0,1,1
2024-06-17,1,0,0,0,0,1
2024-06-24,7,0,0,0,0,7
2024-07-01,4,0,0,1,1,3
2024-07-08,3,0,0,1,0,3
2024-07-15,2,0,0,0,0,2
2024-07-22,6,0,0,0,1,5
2024-07-29,23,0,0,0,1,22
2024-08-05,33,0,0,1,0,33
2024-08-12,2,0,0,0,1,1
2024-08-19,6,0,0,0,0,6
2024-08-26,5,0,0,0,0,5
2024-09-02,6,0,0,0,0,6
2024-09-16,11,0,0,1,0,11
2024-09-23,8,0,0,3,2,6
2024-09-30,15,0,0,0,0,15
2024-10-07,5,0,0,0,1,4
2024-10-14,6,0,0,0,1,5
2024-10-21,7,0,0,0,0,7
2024-10-28,10,0,0,1,0,10
2024-11-04,6,1,0,2,0,6
2024-11-11,9,1,0,3,2,7
2024-11-18,60,1,0,5,4,56
2024-11-25,24,1,0,3,3,21
2024-12-02,36,1,0,6,20,16
2024-12-09,53,1,0,8,42,11
2024-12-16,59,1,0,5,48,11
2024-12-23,39,1,0,4,29,10
2024-12-30,23,1,0,3,17,6
2025-01-06,30,1,0,3,21,9
2025-01-13,86,1,0,7,77,9
2025-01-20,139,1,0,11,130,9
2025-01-27,159,1,0,10,152,7
2025-02-03,112,1,0,12,98,14
2025-02-10,78,1,0,5,75,3
2025-02-17,87,1,0,7,57,30
2025-02-24,81,1,0,7,73,8
2025-03-03,86,1,0,10,70,16
2025-03-10,61,1,0,6,50,11
2025-03-17,62,1,0,7,50,12
2025-03-24,66,1,0,15,52,14
2025-03-31,53,1,0,7,40,13
2025-04-07,47,1,0,8,44,3
2025-04-14,21,1,0,2,20,1
2025-04-21,24,1,0,5,22,2
2025-04-28,33,1,0,7,25,8
2025-05-05,23,1,0,4,18,5
2025-05-12,28,1,0,7,23,5
2025-05-19,42,1,0,10,35,7
2025-05-26,49,1,0,8,47,2
2025-06-02,37,1,0,6,24,13
2025-06-09,25,1,0,3,16,9
2025-06-16,27,1,0,4,17,10
2025-06-23,29,1,0,2,20,9
2025-06-30,107,1,0,9,98,9
2025-07-07,53,1,0,7,36,17
2025-07-14,35,1,0,5,25,10
2025-07-21,24,1,0,4,11,13
2025-07-28,39,1,0,2,24,15
2025-08-04,32,1,0,5,15,17
2025-08-11,71,1,0,5,21,50
2025-08-18,130,1,0,5,110,20
2025-08-25,97,1,0,5,93,4
2025-09-01,147,1,0,11,129,18
2025-09-08,62,1,0,4,53,9
2025-09-15,30,1,0,8,22,8
2025-09-22,130,1,0,7,120,10
2025-09-29,29,1,0,4,12,17
2025-10-06,81,1,0,5,73,8
2025-10-13,23,1,0,4,14,9
2025-10-20,20,1,0,2,16,4
2025-10-27,66,1,0,4,51,15
2025-11-03,58,1,0,4,42,16
2025-11-10,33,1,0,8,30,3
2025-11-17,20,1,0,6,17,3
2025-11-24,15,1,0,2,9,6
2025-12-01,17,1,0,3,13,4
2025-12-08,19,1,0,4,8,11
2025-12-15,13,1,0,0,6,7
2025-12-22,7,1,0,1,3,4
2025-12-29,7,1,0,2,2,5
2026-01-05,5,1,0,0,1,4
2026-01-12,19,1,0,6,9,10
2026-01-19,16,1,0,4,13,3
2026-01-26,127,1,0,4,8,119
2026-02-02,21,1,0,5,9,12
2026-02-09,48,1,0,6,16,32
2026-02-16,89,1,0,4,18,71
2026-02-23,238,1,0,3,8,230
2026-03-02,48,1,0,1,4,44
2026-03-09,12,1,0,3,6,6
2026-03-16,11,1,0,4,6,5
2026-03-23,6,1,0,0,3,3
